row_seq|input_address|zip
42203|7365 RACE RD , HARMENS, MD 00000|00000
53948|37 Parking Ramp , Washington, DC 20001|20001
229|1315 5TH ST NW , WASHINGTON, DC 20001|20001
688|1014 11TH ST NE , WASHINGTON, DC 20001|20001
2599|100 RANDOLPH PL NW , WASHINGTON, DC 20001|20001
3218|212 W ST NW , WASHINGTON, DC 20001|20001
1565|815 T ST NW , WASHINGTON, DC 20001|20001
812|222 BATES ST NW , WASHINGTON, DC 20001|20001
3434|1923 VERMONT AVE NW , WASHINGTON, DC 20001|20001
3321|1831 D ST NE , WASHINGTON, DC 20002|20002
3048|426 18TH ST NE , WASHINGTON, DC 20002|20002
2023|1115 PARK ST NE , WASHINGTON, DC 20002|20002
2941|1127 7TH ST NE , WASHINGTON, DC 20002|20002
1066|711 24TH ST NE , WASHINGTON, DC 20002|20002
1951|2107 H ST NE , WASHINGTON, DC 20002|20002
2055|1200 NORTH CAPITOL ST NW C411, WASHINGTON, DC 20002|20002
2097|1215 1ST ST NE 8F, WASHINGTON, DC 20002|20002
1404|1209 17TH ST NE , WASHINGTON, DC 20002|20002
2594|600 E ST NW , WASHINGTON, DC 20004|20004
1987|1329 14TH ST NW , WASHINGTON, DC 20005|20005
2551|1111 MASSACHUSETTS AVE NW , WASHINGTON, DC 20005|20005
3613|1133 15TH ST NW , WASHINGTON, DC 20005|20005
1449|3400 MASSACHUSETTS AVE NW , WASHINGTON, DC 20007|20007
3488|3400 MASSACHUSETTS AVE NW , WASHINGTON, DC 20007|20007
254|3616 FESSENDEN ST NW , WASHINGTON, DC 20008|20008
200|5132 LINNEAN TER NW , WASHINGTON, DC 20008|20008
639|3640 BRANDYWINE ST NW , WASHINGTON, DC 20008|20008
3785|1617 U ST NW , WASHINGTON, DC 20009|20009
1|45 GREEN HILL RD , WASHINGTON, DC 20009|20009
2870|1841 COLUMBIA RD NW , WASHINGTON, DC 20009|20009
684|729 IRVING ST NW , WASHINGTON, DC 20010|20010
3747|1433 MONROE ST NW , WASHINGTON, DC 20010|20010
3693|3636 16TH ST NW , WASHINGTON, DC 20010|20010
837|3920 ARGYLE TER NW , WASHINGTON, DC 20011|20011
2409|3900 14TH ST NW , WASHINGTON, DC 20011|20011
3679|1419 RITTENHOUSE ST NW , WASHINGTON, DC 20011|20011
2538|4121 7TH ST NW , WASHINGTON, DC 20011|20011
524|5717 3RD PL NW , WASHINGTON, DC 20011|20011
1226|734 LONGFELLOW ST NW , WASHINGTON, DC 20011|20011
699|6209 12TH ST NW , WASHINGTON, DC 20011|20011
947|6605 13TH PL NW , WASHINGTON, DC 20012|20012
586|1400 IRIS ST NW , WASHINGTON, DC 20012|20012
1832|1301 FLORAL ST NW , WASHINGTON, DC 20012|20012
2871|6500 PINEY BRANCH RD NW , WASHINGTON, DC 20012|20012
485|3610 LIVINGSTON ST NW , WASHINGTON, DC 20015|20015
2873|6314 UTAH AVE NW , WASHINGTON, DC 20015|20015
489|5318 BROAD BRANCH RD NW , WASHINGTON, DC 20015|20015
2018|5230 WISCONSIN AVE NW , WASHINGTON, DC 20015|20015
319|4712 YUMA ST NW , WASHINGTON, DC 20016|20016
2138|4800 NEBRASKA AVE NW , WASHINGTON, DC 20016|20016
3207|4201 BUTTERWORTH PL NW , WASHINGTON, DC 20016|20016
494|3722 CHESAPEAKE ST NW , WASHINGTON, DC 20016|20016
1145|2800 12TH ST NE , WASHINGTON, DC 20017|20017
1629|4815 8TH ST NE , WASHINGTON, DC 20017|20017
1949|2705 BLADENSBURG RD NE , WASHINGTON, DC 20018|20018
2642|2405 RHODE ISLAND AVE NE , WASHINGTON, DC 20018|20018
860|1601 W ST NE , WASHINGTON, DC 20018|20018
2368|501 32ND ST SE 2, WASHINGTON, DC 20019|20019
361|5056 A ST SE , WASHINGTON, DC 20019|20019
1007|4648 A ST SE , WASHINGTON, DC 20019|20019
3094|320 61ST ST NE , WASHINGTON, DC 20019|20019
491|3900 AMES ST NE FRONT, WASHINGTON, DC 20019|20019
750|4372 DUBOIS PL SE , WASHINGTON, DC 20019|20019
3770|3101 K ST SE , WASHINGTON, DC 20019|20019
2530|3708 HAYES ST NE , WASHINGTON, DC 20019|20019
1680|4638 H ST SE , WASHINGTON, DC 20019|20019
818|5312 EAST CAPITOL ST NE , WASHINGTON, DC 20019|20019
2795|5009 QUEENS STROLL PL SE , WASHINGTON, DC 20019|20019
3432|600 DIVISION AVE NE , WASHINGTON, DC 20019|20019
1108|3127 G ST SE , WASHINGTON, DC 20019|20019
1297|3072 STANTON RD SE , WASHINGTON, DC 20020|20020
3456|2330 GOOD HOPE RD SE , WASHINGTON, DC 20020|20020
2920|3090 STANTON RD SE , WASHINGTON, DC 20020|20020
668|1815 TRENTON PL SE 204, WASHINGTON, DC 20020|20020
2860|2051 36TH ST SE , WASHINGTON, DC 20020|20020
3143|1915 33RD ST SE , WASHINGTON, DC 20020|20020
2282|4120 SOUTHERN AVE SE , WASHINGTON, DC 20020|20020
997|2300 GOOD HOPE RD SE , WASHINGTON, DC 20020|20020
2479|2406 ELVANS RD SE , WASHINGTON, DC 20020|20020
159|101 G ST SW , WASHINGTON, DC 20024|20024
1215|3870 9TH ST SE 101, WASHINGTON, DC 20032|20032
3483|3850 SOUTH CAPITOL ST , WASHINGTON, DC 20032|20032
3662|900 VARNEY ST SE , WASHINGTON, DC 20032|20032
1020|135 WILMINGTON PL SE , WASHINGTON, DC 20032|20032
2644|4660 MARTIN LUTHER KING JR AVE SW , WASHINGTON, DC 20032|20032
1837|741 ALABAMA AVE SE 4, WASHINGTON, DC 20032|20032
116|3747 1ST ST SE , WASHINGTON, DC 20032|20032
2328|114 WAYNE PL SE 406, WASHINGTON, DC 20032|20032
1277|4254 6TH ST SE 1, WASHINGTON, DC 20032|20032
1900|3790 MARTIN LUTHER KING JR AVE SE , WASHINGTON, DC 20032|20032
3270|3865 HALLEY TER SE , WASHINGTON, DC 20032|20032
2771|434 MELLON ST SE 1 DC, WASHINGTON, DC 20032|20032
3109|3700 O ST NW , WASHINGTON, DC 20057|20057
53921|7995 PINNACLE RIDGE RD , WASHINGTON, DC 20112|20112
1860|1600 PENNSYLVANIA AVE NW , WASHINGTON, DC 20500|20500
1724|1600 PENNSYLVANIA AVE NW , WASHINGTON, DC 20500|20500
2736|1600 PENNSYLVANIA AVE NW , WASHINGTON, DC 20500|20500
2702|1600 PENNSYLVANIA AVE NW , WASHINGTON, DC 20500|20500
15523|11446 WELMONT CT , WALDORF, MD 20601|20601
17396|3723 Pecan Court , Waldorf, MD 20601|20601
17513|2660 Chorus Court , Waldorf, MD 20601|20601
16060|2930 St. Peters Church RD , Waldorf, MD 20602|20602
16331|11725 Berry RD , Waldorf, MD 20602|20602
16184|2050 Nike DR , Waldorf, MD 20602|20602
16183|6057 sirenia PL , Waldorf, MD 20602|20602
17146|9210 Kris DR , WALDORF, MD 20602|20602
16445|11930 ACTON LN , Waldorf, MD 20602|20602
16311| Smallwood DR , Waldorf, MD 20602|20602
17687|10145 Berry RD , Waldorf, MD 20602|20602
16399|3150 Middletown RD , Waldorf, MD 20602|20602
16332|3371 Mattawoman-Beantown RD , Waldorf, MD 20602|20602
16421|2301 Avalon CT , Waldorf, MD 20602|20602
16231|2609 Meadowsweet DR , Waldorf, MD 20602|20602
17989|2338 LAMBETH HILL DR , Waldorf, MD 20603|20603
17921| Castletower CT , Waldorf, MD 20603|20603
17771|6006 Hampshire CIR , Waldorf, MD 20603|20603
17829|10487 Mark DR , Waldorf, MD 20603|20603
17830|12120 Burning Ridge CT , Waldorf, MD 20603|20603
17650|814 Roxbury CT , Waldorf, MD 20603|20603
17755|5113 Royal Birkdale AVE , Waldorf, MD 20603|20603
32414|16302 OLD MARSHALL HALL RD , Accokeek, MD 20607|20607
36778|21340 Colton Point RD , Avenue, MD 20609|20609
33879|17305 AQUASCO RD , Baden, MD 20613|20613
17592|8275 Knighthood Place , Bryans Road, MD 20616|20616
16782|3941 SHAFTBERRY ST , BRYANS ROAD, MD 20616|20616
17783|8925 Victory CT , Bryans Road, MD 20616|20616
15513|7345 INDIAN HEAD HWY , BRYANS ROAD, MD 20616|20616
16767|3809 TULLYCROSS CT , BRYANS ROAD, MD 20616|20616
17509|7560 Bumpy Oak Road , Bryans Road, MD 20616|20616
17398|7245 Ransome Place , Bryans Road, MD 20616|20616
17584|3114 Ice House Place , Bryans Road, MD 20616|20616
15926|6435 S Leonardtown RD , Bryantown, MD 20617|20617
15803|6966 N Leonardtown RD , Bryantown, MD 20617|20617
37053|23900 N PATUXENT BEACH RD , CALIFORNIA, MD 20619|20619
36364|22599 MACARTHUR BLVD , CALIFORNIA, MD 20619|20619
36511|23332 TOWN CREEK DR , CALIFORNIA, MD 20619|20619
37280|22576 MacARTHUR BLVD , CALIFORNIA, MD 20619|20619
16687|14675 S Cuckold Creek RD , Cobb Island, MD 20625|20625
36677|21340 Colton Point RD , Coltons Point, MD 20626|20626
36643|18151 St Jeromes Neck RD , DAMERON, MD 20628|20628
37270|45779 BUCK HEWITT RD , GREAT MILLS, MD 20634|20634
37235|45485 MIRAMAR WAY , GREAT MILLS, MD 20634|20634
36701|45765 Gunther DR , Great Mills, MD 20634|20634
36904|24235 MERVELL DEAN RD , Hollywood, MD 20636|20636
36441|44178 AIRPORT RD , HOLLYWOOD, MD 20636|20636
35989|24290 HALF PONE POINT RD , HOLLYWOOD, MD 20636|20636
36918|24410 HILLCREST DR , Hollywood, MD 20636|20636
36917|24946 BRISCOE THOMPSON WAY , Hollywood, MD 20636|20636
36878|29435 HEARTS DESIRE DR , Hollywood, MD 20636|20636
36947|22442 WHITE OAK ROAD , Hollywood, MD 20636|20636
36874|23955 HOLLYWOOD RD , Hollywood, MD 20636|20636
15896|15466 Park AVE , Hughesville, MD 20637|20637
16646| Prince Frederick Road , Hughesville, MD 20637|20637
15780| Brandywine RD , Hughesville, MD 20637|20637
15880|6155 Cracklingtown RD , Hughesville, MD 20637|20637
15891|8415 Keech RD , Hughesville, MD 20637|20637
12267|5550 STEPHEN REID RD , HUNTINGTOWN, MD 20639|20639
12044|5005 N SOLOMONS ISLAND RD , HUNTINGTOWN, MD 20639|20639
16769|5242 POND VIEW CT , INDIAN HEAD, MD 20640|20640
16764|4705 STRAUSS AVE , INDIAN HEAD, MD 20640|20640
17144|11 Dale DR , Indian Head, MD 20640|20640
16757|5750 SMALLWOOD CHURCH RD , IRONSIDES, MD 20643|20643
15509|14895 IVANHOE DR , ISSUE, MD 20645|20645
17285|8856 Derby Court CT , La Plata, MD 20646|20646
15262|10830 NAUTICA PL , La Plata, MD 20646|20646
15719|8560 Penns Hill RD , La Plata, MD 20646|20646
15610|8930 FAIRGROUNDS RD , La Plata, MD 20646|20646
17187|9250 Mona Farm Place PL , La Plata, MD 20646|20646
15406|2122 DUCHY , La Plata, MD 20646|20646
15407|16215 COBB ISLAND RD , La Plata, MD 20646|20646
15364|14074 BEVERLY , La Plata, MD 20646|20646
15512|400 HARFORD ST , La Plata, MD 20646|20646
15242|7610 SHIRLEY BLVD , La Plata, MD 20646|20646
15549| CHARLES ST , La Plata, MD 20646|20646
15530|1 HICKORY LANE , La Plata, MD 20646|20646
17289|8753 Kentucky Avenue AVE , La Plata, MD 20646|20646
15210|2450 SHAWNEE LA , La Plata, MD 20646|20646
15370|5075 CLAUDES , La Plata, MD 20646|20646
15414|11969 LINCOLN PL , La Plata, MD 20646|20646
36011|43025 MARWOOD CT , LEONARDTOWN, MD 20650|20650
36099|40688 CLEARFIELDS CT , LEONARDTOWN, MD 20650|20650
35935|40955 MERCHANTS LA , LEONARDTOWN, MD 20650|20650
37131|21779 TULAGI PL , LEXINGTON PARK, MD 20653|20653
36372|45831 KRYSTAL LA , LEXINGTON PARK, MD 20653|20653
36505|46853 ROGERS DR , LEXINGTON PARK, MD 20653|20653
36400|21895 PEGG RD , LEXINGTON PARK, MD 20653|20653
36465|45860 KRYSTAL LA , LEXINGTON PARK, MD 20653|20653
36564|21678 GREAT MILLS RD , LEXINGTON PARK, MD 20653|20653
11903|865 CRYSTAL ROCK RD , LUSBY, MD 20657|20657
11886|865 CRYSTAL ROCK RD , LUSBY, MD 20657|20657
37114|12554 SANTA ROSA RD , LUSBY, MD 20657|20657
16910|4995 PISGAH MARBURY RD , PISGAH, MD 20658|20658
16927|4400 SMALLWOOD CHURCH RD , MARBURY, MD 20658|20658
36189|10855 Charles ST , Mechanicsville, MD 20659|20659
36171|39250 New Market Turner RD , Mechanicsville, MD 20659|20659
36142|38373 Mount Wolf RD , Mechanicsville, MD 20659|20659
36321|27064 Jeannie CT , Mechanicsville, MD 20659|20659
15984|27161 Birch Manor CIR , Mechanicsville, MD 20659|20659
36116|40419 Waterview DR , Mechanicsville, MD 20659|20659
36191|27861 Budds Creek RD , Mechanicsville, MD 20659|20659